8	2	-9803	4	2	0	
9	0	-9803	3	3	0	
13	-2	-9800	3	2	0	
16	-4	-9801	3	2	0	
20	-4	-9804	3	1	0	
23	-2	-9801	2	0	0	
19	-1	-9799	0	0	0	
15	3	-9800	1	1	1	
11	2	-9803	2	1	1	
9	3	-9809	1	0	1	
6	2	-9799	0	-1	0	
8	2	-9806	0	-1	0	
6	3	-9805	1	-1	0	
4	-5	-9814	2	-1	0	
5	-11	-9812	2	-1	0	
6	-18	-9810	2	0	0	
11	-22	-9804	3	0	1	
20	-28	-9803	3	1	1	
23	-27	-9803	3	1	1	
24	-30	-9809	4	1	2	
25	-31	-9812	3	1	2	
22	-25	-9811	1	0	2	
20	-18	-9806	1	0	2	
20	-14	-9805	-1	0	2	
15	-8	-9806	-2	-1	2	
13	-4	-9810	-2	-1	2	
10	-1	-9804	-1	0	2	
8	3	-9800	0	0	3	
2	2	-9803	1	1	3	
3	5	-9803	1	0	3	
0	-1	-9804	2	1	3	
-3	-3	-9807	2	1	3	
-2	-2	-9806	2	1	3	
-8	-4	-9803	0	1	3	
-6	-4	-9805	-1	0	2	
-4	-5	-9804	-1	0	2	
0	-6	-9805	-1	0	2	
8	-2	-9806	0	0	1	
14	-3	-9806	0	-1	1	
21	-9	-9810	0	0	1	
25	-9	-9801	0	0	1	
26	-8	-9791	1	0	2	
28	-12	-9794	0	-1	2	
28	-9	-9802	0	0	1	
24	-10	-9801	0	-1	2	
21	-8	-9802	0	-1	3	
15	-7	-9809	0	-1	3	
9	-11	-9807	0	0	3	
7	-11	-9800	1	-1	2	
7	-11	-9802	1	0	2	
4	-12	-9802	0	0	2	
5	-13	-9805	1	0	2	
7	-13	-9801	1	0	2	
6	-13	-9797	1	0	1	
5	-9	-9799	1	0	1	
6	-4	-9800	2	-1	1	
9	1	-9806	2	0	2	
8	6	-9809	2	1	1	
5	9	-9806	2	1	1	
8	7	-9807	2	1	0	
8	1	-9811	1	1	1	
10	-1	-9807	1	1	1	
10	-6	-9807	2	1	0	
12	-7	-9803	2	0	0	
13	-12	-9801	0	0	0	
11	-15	-9796	1	1	-1	
11	-14	-9803	2	1	0	
11	-13	-9806	3	2	0	
14	-12	-9800	3	2	0	
13	-11	-9811	2	1	0	
11	-5	-9809	2	0	1	
10	-1	-9811	1	0	1	
11	2	-9807	0	0	2	
11	9	-9805	1	0	2	
12	7	-9805	2	0	1	
11	-1	-9800	1	0	0	
11	-9	-9807	1	-2	0	
11	-10	-9800	-3	-2	0	
16	-20	-9805	-1	-2	-1	
12	-27	-9803	-1	-2	-1	
14	-35	-9796	1	-1	1	
18	-37	-9806	0	-2	1	
22	-35	-9810	-2	-3	2	
20	-25	-9792	-2	-3	2	
17	-19	-9792	-3	-1	2	
19	-13	-9805	-2	0	2	
18	-7	-9808	-2	-1	3	
20	3	-9800	-1	0	3	
15	2	-9811	-2	-1	3	
12	2	-9810	-3	-1	2	
-2	16	-9787	-5	0	2	
6	11	-9814	-2	0	1	
1	12	-9801	0	-1	2	
0	15	-9790	-2	-2	2	
-4	15	-9799	-2	-2	1	
-4	13	-9800	-1	-1	1	
-3	12	-9810	1	0	1	
-6	15	-9797	1	0	0	
-5	10	-9808	6	2	1	
2	13	-9801	5	2	0	
-2	1	-9801	4	1	0	
5	0	-9798	5	0	0	
8	-5	-9804	5	0	0	
13	-10	-9798	1	0	0	
12	-19	-9804	1	-1	-1	
17	-22	-9802	1	-2	0	
19	-24	-9797	0	-1	0	
21	-27	-9809	0	0	0	
21	-26	-9814	2	1	1	
17	-30	-9814	-1	-1	1	
17	-27	-9806	1	1	1	
17	-23	-9803	1	1	1	
15	-15	-9800	3	1	0	
17	-12	-9807	5	2	0	
15	-9	-9812	5	2	-1	
13	-4	-9809	2	1	-2	
7	1	-9811	-5	-2	-1	
3	8	-9799	-3	0	0	
-2	6	-9805	-1	1	0	
0	7	-9803	0	2	0	
-4	9	-9803	1	2	0	
-2	10	-9799	0	2	-1	
-3	7	-9804	0	1	-1	
-3	6	-9803	0	0	0	
-4	-1	-9806	0	1	0	
1	-5	-9804	0	1	0	
2	-7	-9804	0	0	1	
4	-10	-9803	0	0	0	
12	-10	-9805	0	0	0	
16	-10	-9803	0	-1	0	
18	-14	-9802	-1	-2	1	
21	-15	-9795	-1	-2	1	
23	-10	-9798	0	-2	1	
25	-4	-9800	1	1	1	
23	-4	-9812	1	-1	2	
25	-4	-9800	-1	-1	2	
23	-5	-9811	-1	-2	1	
19	-7	-9809	0	-2	1	
17	-3	-9809	0	-1	1	
13	-4	-9805	-1	-2	2	
9	-7	-9804	0	-2	2	
9	-9	-9806	-1	-3	2	
10	-8	-9803	-1	-2	2	
8	-10	-9808	-2	-2	2	
8	-7	-9804	-1	-2	2	
2	-5	-9796	-2	-2	2	
3	2	-9806	-3	-1	3	
3	4	-9806	-2	-1	3	
4	8	-9806	-2	-2	2	
8	12	-9803	-3	-1	2	
10	10	-9813	-2	-1	1	
12	8	-9808	-3	-1	1	
12	8	-9814	-2	-1	1	
13	6	-9808	-3	-1	1	
13	3	-9803	-2	-2	1	
10	0	-9809	-1	-1	1	
12	-2	-9816	-2	-1	0	
15	-8	-9808	-1	-1	1	
11	-11	-9808	-1	-1	1	
12	-13	-9797	-1	0	0	
11	-14	-9795	0	0	1	
11	-16	-9800	0	0	1	
9	-13	-9802	0	0	2	
7	-10	-9806	0	0	3	
4	-8	-9808	0	0	3	
2	-4	-9805	0	-1	4	
4	-3	-9805	-1	-1	4	
5	-4	-9809	-2	0	4	
6	-4	-9805	-1	0	3	
9	-5	-9805	-1	-1	2	
